#Channel_number,Time,Counts
1,0.016760828625235404,56.0
2,0.03352165725047081,43.0
3,0.05028248587570621,42.0
4,0.06704331450094161,60.0
5,0.08380414312617701,45.0
6,0.10056497175141242,58.0
7,0.11732580037664783,47.0
8,0.13408662900188323,49.0
9,0.15084745762711863,53.0
10,0.16760828625235402,42.0
11,0.18436911487758945,54.0
12,0.20112994350282484,49.0
13,0.21789077212806024,43.0
14,0.23465160075329566,45.0
15,0.25141242937853103,53.0
16,0.26817325800376646,49.0
17,0.2849340866290019,49.0
18,0.30169491525423725,40.0
19,0.3184557438794727,40.0
20,0.33521657250470804,43.0
21,0.35197740112994347,54.0
22,0.3687382297551789,42.0
23,0.38549905838041426,40.0
24,0.4022598870056497,43.0
25,0.4190207156308851,49.0
26,0.4357815442561205,39.0
27,0.4525423728813559,51.0
28,0.4693032015065913,38.0
29,0.4860640301318267,41.0
30,0.5028248587570621,42.0
31,0.5195856873822975,37.0
32,0.5363465160075329,46.0
33,0.5531073446327683,44.0
34,0.5698681732580038,60.0
35,0.5866290018832391,51.0
36,0.6033898305084745,41.0
37,0.6201506591337099,36.0
38,0.6369114877589453,43.0
39,0.6536723163841808,32.0
40,0.6704331450094161,47.0
41,0.6871939736346515,32.0
42,0.7039548022598869,44.0
43,0.7207156308851224,39.0
44,0.7374764595103578,39.0
45,0.7542372881355932,31.0
46,0.7709981167608285,33.0
47,0.787758945386064,39.0
48,0.8045197740112994,29.0
49,0.8212806026365348,39.0
50,0.8380414312617702,48.0
51,0.8548022598870055,44.0
52,0.871563088512241,46.0
53,0.8883239171374764,34.0
54,0.9050847457627118,35.0
55,0.9218455743879472,37.0
56,0.9386064030131827,39.0
57,0.955367231638418,46.0
58,0.9721280602636534,32.0
59,0.9888888888888888,43.0
60,1.0056497175141241,34.0
61,1.0224105461393596,37.0
62,1.039171374764595,54.0
63,1.0559322033898304,32.0
64,1.0726930320150658,31.0
65,1.0894538606403013,29.0
66,1.1062146892655367,32.0
67,1.122975517890772,32.0
68,1.1397363465160075,32.0
69,1.156497175141243,31.0
70,1.1732580037664782,35.0
71,1.1900188323917136,24.0
72,1.206779661016949,36.0
73,1.2235404896421844,38.0
74,1.2403013182674199,34.0
75,1.2570621468926553,37.0
76,1.2738229755178907,37.0
77,1.2905838041431261,26.0
78,1.3073446327683615,32.0
79,1.324105461393597,36.0
80,1.3408662900188322,28.0
81,1.3576271186440676,38.0
82,1.374387947269303,24.0
83,1.3911487758945384,38.0
84,1.4079096045197739,33.0
85,1.4246704331450093,31.0
86,1.4414312617702447,28.0
87,1.4581920903954801,28.0
88,1.4749529190207156,27.0
89,1.491713747645951,24.0
90,1.5084745762711864,27.0
91,1.5252354048964216,23.0
92,1.541996233521657,29.0
93,1.5587570621468925,28.0
